Amit	Shesh	0.920833333333333	0.8	0.656410256410256	0.218181818181818		70.8548951048951	C-
Clark 	Freifeld	1	0.888888888888889	0.9	0.987012987012987		92.5367965367965	A-
Aniruddha	Tapas	0.891666666666667	0.566666666666667	0.711111111111111	0.566233766233766		68.9401154401155	D+
Aditya	Sathyanarayan	0.783333333333333	0.8	0.333333333333333	0		53	F
Ritika	Nair	1	0.911111111111111	0.955555555555556	0.92987012987013		94.8542568542569	A
Rohan	Chitnis	0.933333333333333	1	0.977777777777778	0.745454545454546		95.2323232323232	A
Amit	Freifeld	1	1	1	1		100	A
Clark 	Shesh	1	1	1	1		100	A
Bob	Builder	0	0	0	0		0	F
Fname1	Lname1	1	0	0	0		20	F
Fname2	Lname2	0	1	0	0		30	F
Fname3	Lname3	0	0	1	0		40	F
Fname4	Lname4	0	0	0	1		10	F
Fname5	Lname5	0.2	1	1	1		84	B
Fname6	Lname6	1	0.4	1	1		82	B-
Fname7	Lname7	1	1	0.4	1		76	C+
Fname8	Lname8	1	0.7	1	0.1		82	B-
Fname9	Lname9	0.34	1	0.4	1		62.8	D-
Fname10	Lname10	1	0.34	1	1		80.2	B-
